light_level	ts
20,000000	2020-10-29T19:50:50:108
48,000000	2020-10-29T19:50:50:190
44,000000	2020-10-29T19:50:50:458
32,000000	2020-10-29T19:50:50:669
28,000000	2020-10-29T19:50:50:909
28,000000	2020-10-29T19:50:51:143
20,000000	2020-10-29T19:50:51:388
28,000000	2020-10-29T19:50:51:628
56,000000	2020-10-29T19:50:51:871
68,000000	2020-10-29T19:50:52:110
80,000000	2020-10-29T19:50:52:348
100,000000	2020-10-29T19:50:52:590
128,000000	2020-10-29T19:50:52:837
132,000000	2020-10-29T19:50:53:070
124,000000	2020-10-29T19:50:53:309
48,000000	2020-10-29T19:50:53:546
44,000000	2020-10-29T19:50:53:791
44,000000	2020-10-29T19:50:54:030
52,000000	2020-10-29T19:50:54:266
72,000000	2020-10-29T19:50:54:516
96,000000	2020-10-29T19:50:54:839
104,000000	2020-10-29T19:50:54:989
120,000000	2020-10-29T19:50:55:227
40,000000	2020-10-29T19:50:55:470
32,000000	2020-10-29T19:50:55:849
28,000000	2020-10-29T19:50:56:016
20,000000	2020-10-29T19:50:56:200
16,000000	2020-10-29T19:50:56:431
12,000000	2020-10-29T19:50:56:744
16,000000	2020-10-29T19:50:57:016
56,000000	2020-10-29T19:50:57:156
36,000000	2020-10-29T19:50:57:389
20,000000	2020-10-29T19:50:57:660
20,000000	2020-10-29T19:50:57:873
24,000000	2020-10-29T19:50:58:152
24,000000	2020-10-29T19:50:58:363
24,000000	2020-10-29T19:50:58:629
28,000000	2020-10-29T19:50:58:838
28,000000	2020-10-29T19:50:59:252
28,000000	2020-10-29T19:50:59:677
32,000000	2020-10-29T19:50:59:684
32,000000	2020-10-29T19:51:00:177
32,000000	2020-10-29T19:51:00:233
32,000000	2020-10-29T19:51:00:288
20,000000	2020-10-29T19:51:00:528
8,000000	2020-10-29T19:51:00:766
8,000000	2020-10-29T19:51:00:993
36,000000	2020-10-29T19:51:01:235
20,000000	2020-10-29T19:51:01:473
0,000000	2020-10-29T19:51:01:714
32,000000	2020-10-29T19:51:01:955
36,000000	2020-10-29T19:51:02:241
32,000000	2020-10-29T19:51:02:437
32,000000	2020-10-29T19:51:02:675
28,000000	2020-10-29T19:51:02:920
8,000000	2020-10-29T19:51:03:157
24,000000	2020-10-29T19:51:03:396
28,000000	2020-10-29T19:51:03:636
20,000000	2020-10-29T19:51:03:877
12,000000	2020-10-29T19:51:04:118
24,000000	2020-10-29T19:51:04:359
20,000000	2020-10-29T19:51:04:607
4,000000	2020-10-29T19:51:04:850
