-40,-17,-19
-32,-20,-9
-32,-19,-6
-30,-27,-14
-37,-31,-20
-42,-32,-24
-45,-41,-28
-51,-39,-29
-53,-37,-29
-48,-41,-28
-45,-38,-23
-50,-34,-23
-48,-38,-30
-45,-41,-40
-46,-41,-37
-42,-34,-26
-42,-31,-25
-46,-31,-27
-49,-34,-32
-51,-35,-35
-46,-36,-31
-47,-31,-23
-50,-31,-24
-53,-32,-35
-55,-33,-36
-41,-35,-24
-46,-35,-28
-47,-34,-27
-52,-32,-25
-50,-30,-23
-47,-25,-19
-52,-26,-22
-54,-27,-27
-52,-31,-30
-55,-30,-30
-56,-29,-30
-52,-29,-28
-55,-27,-28
-52,-26,-27
-53,-26,-27
-54,-29,-29
-52,-28,-29
-54,-28,-27
-54,-26,-23
-54,-26,-24
-55,-23,-23
-56,-24,-24
-56,-22,-23
-56,-26,-25
-51,-28,-25
-55,-31,-26
-55,-32,-24
-54,-28,-20
-56,-26,-20
-51,-23,-17
-53,-24,-22
-56,-24,-25
-57,-26,-28
-53,-25,-21
-53,-23,-10
-60,-24,-13
-61,-26,-15
-68,-26,-15
-70,-27,-17
-69,-28,-15
-67,-30,-15
-62,-30,-14
-60,-28,-13
-52,-31,-12
-52,-29,-6
-57,-31,-12
-58,-30,-11
-63,-28,-7
-62,-27,-4
-60,-29,0
-60,-29,4
-59,-30,5
-45,-34,18
-56,-41,5
-49,-47,8
-48,-48,14
-40,-52,22
-42,-49,25
-42,-51,23
-34,-48,19
-38,-48,18
-43,-45,19
-37,-46,20
-30,-45,20
-4,-40,23
3,-40,24
15,-38,37
23,-45,41
29,-42,49
13,-44,47
10,-44,50
17,-48,55
20,-50,53
20,-50,49
21,-50,49
21,-49,40
17,-45,38
6,-44,47
-24,-48,59
-28,-56,63
-24,-55,59
-24,-57,39
-29,-59,27
-28,-71,8
-27,-62,6
-26,-59,5
-19,-53,1
-16,-52,2
-12,-46,13
-21,-35,17
-19,-36,12
-23,-45,5
-24,-47,8
-22,-56,26
-27,-58,34
-28,-69,30
-20,-67,21
-14,-65,18
-10,-57,13
-4,-57,16
-5,-52,13
-9,-48,17
-12,-47,19
-12,-49,22
-6,-50,24
-14,-46,26
-23,-42,24
-35,-45,19
-46,-33,23
-42,-29,24
-37,-32,17
-30,-26,16
-44,0,-7
-41,8,-11
-29,9,-3
-52,37,26
-73,53,39
-62,56,24
-73,57,0
-85,57,-9
-85,71,11
-52,71,36
6,87,109
-128,67,-13
-128,48,-40
-87,27,-14
-62,32,6
-46,36,29
-56,40,23
-52,43,22
-37,50,30
-35,54,33
-54,66,21
-46,63,19
-28,53,30
-55,34,-6
-58,32,-23
-67,30,-23
-60,35,-18
-46,35,-11
-38,43,13
-42,47,22
-32,41,24
-42,40,22
-54,34,0
-44,29,1
-42,30,3
-42,30,11
-43,31,16
-41,29,20
-41,30,20
-42,30,18
-42,27,11
-38,29,7
-48,49,13
-58,54,14
-56,55,17
-50,57,20
-42,55,19
-28,60,22
-28,65,23
-28,68,25
-30,66,20
-29,62,16
-26,56,16
-22,53,16
-17,58,27
-16,59,27
-19,56,17
-21,49,7
-26,47,4
-32,47,-3
-35,50,-13
-38,53,-16
-38,54,-19
-35,65,-18
-39,73,-13
-38,67,-12
-27,63,-3
-24,63,8
-19,55,12
-5,54,11
-5,62,12
-19,72,12
-26,75,5
-25,75,3
-21,65,2
-19,60,3
-16,56,11
-18,52,8
